Country Code,Country Name
2561,RWANDA
152,SAINT MARTIN (FRENCH PART)
3006,SAMOA
2028,SAN MARINO
2559,SAO TOME &amp; PRINCIPE
1241,SAUDI ARABIA
2034,SCOTLAND
2527,SENEGAL
2546,SEYCHELLES
2547,SIERRA LEONE
1206,SINGAPORE
2124,SLOVAK REPUBLIC
2122,SLOVENIA
1256,SOLOMON ISLANDS
2548,SOMALIA
2570,SOUTH AFRICA
2759,SOUTH ASIAN ASSOCIATION FOR REGIONAL COOPERATION
2572,SOUTH SUDAN
2016,SPAIN
1202,SRI-LANKA
2545,ST. HELENA
139,ST. KITTS-NEVIS-ANGUILLA
140,ST. LUCIA
141,ST. PIERRE &amp; MIQUELON
142,ST. VINCENT
2549,SUDAN
143,SURINAM
2550,SWAZILAND
2013,SWEDEN
2014,SWITZERLAND
1242,SYRIAN ARAB REPUBLIC
2111,Serbia and Montenegro
9989,Special Economic Zone(SEZ)-Proposed
2565,TAIWAN
2551,TANZANIA
1310,TAZIKISTAN
1247,THAILAND
2528,TOGO
1250,TONGA
144,TRINIDAD &amp; TOBAGO
2552,TUNISIA
2015,TURKEY
1311,TURKMENISTAN
153,TURKS AND CAICOS ISLANDS
1251,TUVALU
1219,U.A.E.
2000,U.K.
145,U.S. VIRGIN ISLANDS
0,U.S.A.
2553,UGANDA
2113,UKRAINE
2773,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT
121,URUGUAY
1308,UZBEKISTAN
1252,VANUATU (NEW HEBRIDGES)
2006,VATICAN CITY (Holy See)
115,VENEZUELA
1306,VIETNAM
146,WEST INDIES N.I.E.
2571,WESTERN SAHARA
1249,WESTERN SAMOA
1213,YEMEN
2557,ZAMBIA
2558,ZIMBABWE
